TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2021-11-11 00:59:45.736,0.43311276753301,1.109895574139395,1.65808723110128,0,0.6583047885888696,0.4757341120971513,0.7258534559217305,0,1.008461340051783,0.5381857097674309,0.633599792138462,0,1.322453284105713,0.4735933667443417,0.1408349935870008,0,1.122406168019291,0.2352475142879125,0.1207551733238653,0,871.1355311355312,753.4798534798535,796.996336996337,1574.652014652015,937.6190476190476,-0.106995,0.093445,1.014099,4.702911,-0.097198,-27.828674,1,2,1,1,2,45.000000
2021-11-11 00:59:45.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:45.898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:46.736,0.43311276753301,1.228875394495381,1.411903696185455,0,0.6583047885888696,0.5657845952656829,0.8185770087931858,0,1.008461340051783,0.662207734333316,0.6556633586720539,0,1.322453284105713,0.9543128117684443,0.5830737911260904,0,1.122406168019291,0.9454466650265393,0.4598008710713659,0,831.2454212454213,756.7032967032967,792.967032967033,740.1831501831502,656.7765567765568,-0.283875,0.031372,0.939453,4.747772,-4.493561,-23.544464,1,2,1,1,4,45.000000
2021-11-11 00:59:46.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:47.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:47.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:47.746,0.43311276753301,1.300278538828626,1.444803694553329,0,0.6583047885888696,0.5816292079270585,0.3888216544889432,0,1.008461340051783,0.6135773263723222,0.6924452988828517,0,1.322453284105713,1.184693213207456,0.6987223242155938,0,1.122406168019291,1.232770599077731,0.6170239009274264,0,1073.406593406593,695.8608058608058,801.4285714285714,908.2051282051282,807.8754578754579,-0.303162,0.214355,1.023682,2.818756,-4.179535,46.573029,1,2,1,1,4,40.000000
2021-11-11 00:59:47.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:48.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:48.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2021-11-11 00:59:48.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:48.738,0.43311276753301,1.300278538828626,1.872999408112382,0,0.6583047885888696,0.5816292079270585,0.3900034399746852,0,1.008461340051783,0.6135773263723222,0.5893269008121841,0,1.322453284105713,1.184693213207456,0.1188413675492213,0,1.122406168019291,1.232770599077731,0.1029855596370435,0,781.2820512820513,758.7179487179487,839.7069597069598,615.2747252747253,946.0805860805862,-0.052856,0.094727,1.009033,-15.394745,5.256195,44.733734,1,2,1,1,4,40.000000
2021-11-11 00:59:48.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2021-11-11 00:59:49.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
